Value,function,Footprint,Qty,price,amount,amount (usd),link
Conn_01x02,2 pin jst connector,Connector_JST:JST_EH_S2B-EH_1x02_P2.50mm_Horizontal,1,,,,decided to solder battery directly
Conn_01x05,3.5mm jack,AUDIOJACK:AUDIOJACK-TH_PJ-306,1,₹10.78,₹10.78,0.11,https://sharvielectronics.com/product/3-5mm-female-stereo-audio-socket-headphone-jack-connector-5-pin-pcb-mount/
SW_Push,6mm push button,Button_Switch_THT:SW_PUSH_6mm,3,₹ 15,₹ 15,0.16,https://robu.in/product/6x6x5-tactile-push-button-switch/
SW_SPDT,SPDT switch,Button_Switch_THT:SW-TH_3P-SS12D06-1,1,₹ 23,₹ 23,0.24,https://robu.in/product/ss12d10g5-wj-shou-han-bend-insert-2a-single-pole-double-throw-spdt-125v-3000-times-black-plugin-slide-switches-rohs/
HS96L03W2C03,1.3 inch oled,1.3inch_oled:OLED-TH12864,1,₹ 347,₹ 347,3.62,https://robu.in/product/1-3-inch-ssd1106-controller-128x64-i2c-communication-interface-oled-display-blue-color-screen/
ESP32-C3_SUPERMINI_TH,esp32 c3 supermini,ESP32 C3 SUPERMINI:MODULE_ESP32-C3_SUPERMINI_TH,1,₹259.63,₹259.63,2.71,https://sharvielectronics.com/product/esp32-c3-super-mini-development-board-hw-466a-pre-soldered-header/
DFR0299,Dfplayermini,DFPLAYER:DFPLAYERMINI,1,₹89,₹89,0.93,https://robocraze.com/products/dfplayer-mini-mp3-module?variant=40193310720153&country=IN&currency=INR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic
PCB,main pcb,,1,,₹899,9.38,https://robu.in/
charger,5V boost+ lipo charger,,1,₹70,₹70,0.73,https://www.flyrobo.in/5v-2a-type-c-usb-battery-charging-discharging-boost-module?tracking=ads
1000mah battery,lipo battery,,1,₹247.36,₹247.36,2.58,https://sharvielectronics.com/product/3-7v-1000mah-lipo-rechargeable-battery-with-bms-502535-model/
,,,,,,,
fly robo shipping,,,,₹59,₹59,0.62,
robocraze shipping,,,,₹49,₹49,0.51,
sharvielect shipping,,,,₹85,₹85,0.89,
sharvielec igst,,,,₹108.49,₹108.49,1.14,
robu shipping(pcb),,,,₹49,₹49,0.51,
robu shipping,,,,₹49,₹49,0.51,
,,,,,,,
,,,,,,TOTAL,
,,,,,,24.64,
